"Address","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Closest Near Duplicate Match","No. Near Duplicates","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","Total Language Errors","Spelling Errors","Grammar Errors","Language","Hash","Indexability","Indexability Status"
"https://www.sportsactiontv.com/","517","102","5.069","92.381","Very Easy","","","","","","","","","","en","612d14c70f20eca49fc304de3415b567","Indexable",""
"https://www.sportsactiontv.com/event-details/beach-bash-lake-view-motor-speedway","58","16","3.625","100.000","Very Easy","","","","","","","","","","en","e35023505fa769f41063aa34e6a83c7b","Indexable",""
"https://www.sportsactiontv.com/event-details/thanksgiving-rumble","44","15","2.933","100.000","Very Easy","","","","","","","","","","en","ce39278dc1b718c4ffd52ceb2be20c4d","Indexable",""
"https://www.sportsactiontv.com/event-details/world-100","55","17","3.235","100.000","Very Easy","","","","","","","","","","en","3001340ba2a77ccb51635bfbb5e37845","Indexable",""
"https://www.sportsactiontv.com/event-list","212","70","3.029","100.000","Very Easy","","","","","","","","","","en","36849c713ee3ad8f64f61368052ac17e","Indexable",""
"https://www.sportsactiontv.com/event-details/rain-out-classic","50","14","3.571","98.306","Very Easy","","","","","","","","","","en","e20cbe2655fb6c3a05284e654f243819","Indexable",""
"https://www.sportsactiontv.com/event-details/jr-johnson-eddie-mishue-memorial-1","68","16","4.250","100.000","Very Easy","","","","","","","","","","en","a3e53b1e6fc1d1663999f63bb774efce","Indexable",""
"https://www.sportsactiontv.com/event-details/jr-johnson-eddie-mishue-memorial","62","17","3.647","100.000","Very Easy","","","","","","","","","","en","cf22021331adea8b416e5230e27c1348","Indexable",""
"https://www.sportsactiontv.com/event-details/17th-annual-race-for-the-kids-modified-mafia-tour","69","15","4.600","100.000","Very Easy","","","","","","","","","","en","c7c17b0a0a7dc9371c1ff6a3f59e275b","Indexable",""
