"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical"
"https://www.sportsactiontv.com/","0","","","","https://www.sportsactiontv.com/",""
"https://www.sportsactiontv.com/event-details/beach-bash-lake-view-motor-speedway","1","index","","","https://www.sportsactiontv.com/event-details/beach-bash-lake-view-motor-speedway",""
"https://www.sportsactiontv.com/event-details/thanksgiving-rumble","1","index","","","https://www.sportsactiontv.com/event-details/thanksgiving-rumble",""
"https://www.sportsactiontv.com/event-details/world-100","1","index","","","https://www.sportsactiontv.com/event-details/world-100",""
"https://www.sportsactiontv.com/event-list","0","","","","https://www.sportsactiontv.com/event-list",""
"https://www.sportsactiontv.com/event-details/rain-out-classic","1","index","","","https://www.sportsactiontv.com/event-details/rain-out-classic",""
"https://www.sportsactiontv.com/event-details/jr-johnson-eddie-mishue-memorial-1","1","index","","","https://www.sportsactiontv.com/event-details/jr-johnson-eddie-mishue-memorial-1",""
"https://www.sportsactiontv.com/event-details/jr-johnson-eddie-mishue-memorial","1","index","","","https://www.sportsactiontv.com/event-details/jr-johnson-eddie-mishue-memorial",""
"https://www.sportsactiontv.com/event-details/17th-annual-race-for-the-kids-modified-mafia-tour","1","index","","","https://www.sportsactiontv.com/event-details/17th-annual-race-for-the-kids-modified-mafia-tour",""
